bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	city	lc0	lc1	lc2	aLanguage	authorBirth_year
709639	1271960	kor		0	uyomjaesimunchok02pong	705373230	ko	1892	[Korea	s.n.]	Uyŏmjae simun ch'o	1724	NULL	Pong-hwan Yi	NULL	NULL	NULL	168	NULL	NULL	NULL	NULL	kor	1724
358348	1134078	ita		0	orazionefunebrei00buon	0	it	1745	In Firenze	Nella Stamperia Granducale per I Tartini, e Franchi	Orazione funebre in morte di S.A.R. la serenissima Elisabetta Carlotta, duchessa vedova di Lorena	1713	1745	Giuseppe Buondelmonti	3810	NULL	NULL	32	NULL	NULL	NULL	NULL	ita	1713
791626	604518	spa	PQ6434 .D7	2002794	dongildelascalz00bourgoog	682449	nyu	1901	New York	Henry Holt and Company	Don Gil de las calzas verdes	1571	NULL	Tirso de Molina	37475	USA	NY	330	NULL	P	PQ	6434	Unknown	1571
881473	767296		Q143.G3 P4	14022001	lifeletterslabou03pearuoft	0	enk	1914	Cambridge [Eng.]	University press	life, letters and labours of Francis Galton	1857	NULL	Pearson, Karl	179650	UK	NULL	57	NULL	Q	Q	143		1857
506777	1164251	fre		0	jurisprudencedel00treb	0	fr	1834	Paris	Baillie	Jurisprudence de la mecine, de la chirurgie et de la pharmacie en France	1801	NULL	Adolphe Trebuchet	251612	France	NULL	33	NULL	NULL	NULL	NULL	fre	1801
61436	1009891	eng		0	quevedoelbuscn00rossrich	0	cau	1915	[Berkeley		Quevedo and El Busc	NULL	NULL	Robert Selden Ross	15332	USA	CA	NULL	NULL	NULL	NULL	NULL	eng	NULL
506340	482326	fre	LA418.Q7 G6	9011879	labbholmesetli00goss	0	onc	1908	Ottawa	Imp. pour l'auteur par la Soci	L'abb	1843	NULL	Auguste Gosselin	20284	Canada	NULL	65	NULL	L	LA	418	fre	1843
279614	1106100	eng		0	greatvictoriansm00escorich	0	nyu	1916	New York	C. Scribner's Sons	Great Victorians	1844	NULL	T. H. S. Escott	91800	USA	NY	72	NULL	NULL	NULL	NULL	eng	1844
271509	749032	eng	DR87 M25 1913	0	czarferdinandhis00macduoft	0	enk	1913	London	T.C. & E.C. Jack	Czar Ferdinand and his people.	NULL	1913	Macdonald, John, M.A.	146854	UK	NULL	NULL	NULL	D	DR	87	eng	NULL
778974	848766	eng	PS3515.O973 D7 1921	22022287	drypointsstudies00hoytrich	1820512	nyu	1921	New York	F. Shay	Dry points	1887	NULL	Hoyt, Henry Martyn	9917	USA	NY	34	NULL	P	PS	3515	eng	1887
350503	90414	ger		0	reisendurchdieve00meli	19023000	gw	1819	Weimar	Verlage des Landes-Industrie	Reisen durch die Vereinten-Staaten von America	1771	1819	John Melish	93224	Germany	NULL	48	NULL	NULL	NULL	NULL	ger	1771
932225	957057		BV3269.C3 C8 1882	0	williamcarey00culr	0	enk	1882	New York	A.C. Armstrong and son	William Carey	1824	1882	James Culross	52427	USA	NY	58	NULL	B	BV	3269		1824
578158	363050	fre	PQ1971 .C6	0	lesophac00cr	0	fr	1921	Paris	Librairie A Lemerre	Le sopha	1707	NULL	Claude-Prosper Jolyot de Crébillon	56338	France	NULL	214	NULL	P	PQ	1971	fre	1707
945596	34799		PR6035 O65 A17 1896	0	poemsrolp00rolpuoft	0	|||	1896	[N.p.]		Poems.	NULL	NULL	A. H Rolph	2383	NULL	NULL	NULL	NULL	P	PR	6035	eng	NULL
892769	266997			16005458	newspeciesofnort06lecorich	0	dcu	1863	Washington	Smithsonian institution	... New species of North American Coleoptera.	1825	NULL	John Lawrence LeConte	239105	USA	DC	38	NULL	NULL	NULL	NULL	eng	1825
270833	703034	eng	PR2342 A5 1590A	0	countessofpembro00sidnuoft	0	enk	1891	London	K. Paul, Trench, Tr	Countess of Pembroke's Arcadia	1554	NULL	Sidney, Philip Sir	199346	UK	NULL	337	NULL	P	PR	2342	eng	1554
168123	915693			0	deafmutismanded01hartgoog	66100877		1881		Bailliere, Tindall & Cox	Deafmutism and the education of deafmutes by lip-reading and articulation	NULL	1881	Arthur Hartmann	85461	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
