bookid	language	lc_classifications	lccn	ocaid	oclc_numbers	publish_country	year	publish_places	publishers	title	authorbirth	workyear	author	nwords	country	state	author_age	city	lc0	lc1	lc2	aLanguage	authorBirth_year
878244	1311685			0	romanceofprocons00milnrich	0	enk	1899	London	Chatto & Windus	romance of a pro-consul	1865	NULL	Milne, James	55900	UK	NULL	34	NULL	NULL	NULL	NULL	eng	1865
601938	808786	fre	PN405 .F4 1854	13002949	dialoguessurll00fn	0	fr	1854	Paris	Chez la Veuve Etienne	Dialogues sur l'	1651	NULL	François de Salignac de la Mothe- Fénelon	53398	France	NULL	203	NULL	P	PN	405	fre	1651
543803	552398	eng		0	cu31924020382671	2494161	nyu	1919	New York	C. Scribner's Sons	The Rough Riders	1858	1899	Theodore Roosevelt	71128	USA	NY	61	NULL	NULL	NULL	NULL	eng	1858
197986	1065329			0	reporttreasurer16deptgoog	0		1883		[Treasury Dept.]	Report of the Treasurer and Receiver-General of the Commonwealth of ...	NULL	NULL	Massachusetts Treasury Dept 	13561	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
661327	1231640	ita		0	dellanticoteatro00stra	0	it	1795	In Padova	Nella Stamperia del seminario	Dell'antico teatro di Padova	1733	NULL	Simone Stratico	26122	NULL	NULL	62	NULL	NULL	NULL	NULL	ita	1733
17177	830107		E438 .G75	18000903	statesovereignty00gran	0	dcu	1859	[Washington?		State sovereignty--the Constitution--slavery.	1789	NULL	Amos P. Granger	2686	USA	DC	70	NULL	E	E	438	eng	1789
596812	560351	ger		0	dershockinsbeson00schn	34230157	xx	1880	Berlin	Niethe	Der Shock, ins besondere nach exarticulatio femoris	1858	NULL	Max Schneider	4299	Germany	NULL	22	NULL	NULL	NULL	NULL	ger	1858
255897	935167	eng		0	aroundclockwith00browgoog	18205871	mau	1910	Boston	John W. Luce & Co.	Around the clock with the rounder	NULL	1910	Lewis Allen	1738	USA	MA	NULL	NULL	NULL	NULL	NULL	eng	NULL
24115	926790	eng	F146 .P41 6th ser. vol.	28004051	militaryabstrac00unkngoog	0	pau	1907	[Harrisburg, Pa	Harrisburg publishing company, state printer	Military abstracts from executive minutes.	NULL	NULL	NULL	19763	USA	PA	NULL	NULL	F	F	146	eng	NULL
452486	1148706	eng		0	desertliferecol00falkgoog	0		1880			Desert life, recollections of an expedition in the Soudan	NULL	NULL	NULL	127584	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
383785	148864	rus		0	perodicheskiasi00morogoog	38646564		1907		Izd. I.D. Sytina	Perīodicheskīi︠a︡ sistemy stroenīi︠a︡ veshchestva: teorīi︠a︡ obrazovanīi︠a︡ ...	1854	1907	Nikolaĭ Aleksandrovich Morozov	75561	NULL	NULL	53	NULL	NULL	NULL	NULL	Unknown	1854
278397	881330	spa	PQ6070 F47	0	galeriadelaliter00ferruoft	0		1846	Madrid	D.F. de P. Mellado	Galeria de la literatura espa	1818	1846	Antonio Ferrer del Río	66638	Spain	NULL	28	NULL	P	PQ	6070	spa	1818
818150	108347	eng	PR4142 .S3	6018304	lyricalpoemswil00blakgoog	4061275	enk	1905	Oxford	Clarendon Press	lyrical poems of William Blake.	1757	NULL	William Blake	32750	UK	NULL	148	NULL	P	PR	4142	eng	1757
274511	86207	cze	D520 B6 D72	0	dotaznmeckchpo12vprauoft	0		1918	V Praze		Dotaz nmeck	NULL	NULL	NULL	52794	NULL	NULL	NULL	NULL	D	D	520	cze	NULL
977249	744142		LC243 .G4	15002090	generaleducation00geneiala	1736633	nyu	1915	New York	General Education Board	General education board	NULL	1915	General Education Board.	52822	USA	NY	NULL	NULL	L	LC	243		NULL
987333	1353039			0	administrationof00hatcuoft	0	nyu	1904	New York	Longmans	administration of the American Revolutionary army.	1872	NULL	Hatch, Louis Clinton	92804	USA	NY	32	NULL	NULL	NULL	NULL		1872
335333	369981	eng		73006929	astrickencity00maclgoog	18450995	nyu	1907	New York	Broadway publishing co.	stricken city	NULL	1907	Salmon Maclean	6010	USA	NY	NULL	NULL	NULL	NULL	NULL	eng	NULL
981575	1350740			0	constitutionalgo00curruoft	0	nyu	1889	New York	Harper	Constitutional government in Spain.	1825	1889	J. L. M. Curry	45215	USA	NY	64	NULL	NULL	NULL	NULL		1825
543022	513490	eng		0	cu31924014054146	5539533	at	1912	Adelaide	Vardon & sons, ltd.	A brief sketch of the coinage and paper currency of South Australia ....	NULL	NULL	Thomas Gill	40842	Australia	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
507192	513358	eng	QL122 .K55 1859	0	glaucusorwonders00kings	8138938	enk	1859	Cambridge	Macmillan and Co.	Glaucus, or, The wonders of the shore	1819	NULL	Charles Kingsley	42062	UK	NULL	40	NULL	Q	QL	122	eng	1819
903884	732553		PA4209 D7	0	completeconcodys00dunbuoft	0	|||	1880	Oxford	Clarendon Press	complete concordance to the Odyssey and Hymns of Homer, to which is added a concordance to the parallel passages in the Iliad, Odyssey, and Hymns.	NULL	NULL	Henry Dunbar	469511	UK	NULL	NULL	NULL	P	PA	4209	Unknown	NULL
1006982	27101		JC71 A41 W4 1888	0	politics00arisuoft	0	enk	1888	London	Macmillan	Politics.	NULL	1996	Aristotle	130474	UK	NULL	NULL	NULL	J	JC	71	eng	NULL
169340	741019			0	chroniclesengue00desrgoog	66797696		1867		G. Routledge and sons	The Chronicles of Enguerrand de Monstrelet: Containing an Account of the ...	NULL	NULL	Enguerrand de Monstrelet	454182	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
749030	88390	ger	PR2065.G7 T3	14013052	diesagevonguyvo00tanngoog	6673548	gw	1877	Bonn	C. Georgi	sage von Guy von Warwick.	NULL	NULL	A. Tanner	12067	Germany	NULL	NULL	NULL	P	PR	2065	ger	NULL
108785	420			0	philosophycommo00scofgoog	14853697		1857		Ward & Lock	The Philosophy of Common Life: Or, The Science of Health	NULL	1857	John Scoffern	94167	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
830006	143380	eng	PA6804.B7 M3	8020560	virgilsmessiani00fowlgoog	4645720	enk	1907	London	J. Murray	Virgil's Messianic eclogue, its meaning, occasion, & sources	1828	NULL	Joseph B. Mayor	28706	UK	NULL	79	NULL	P	PA	6804	eng	1828
792921	166371	gmh	PT1101 .L5 vol. 153	2009430	lutwinsadamunde00lutwgoog	5061066	gw	1881	Tübingen	Litterarischer Verein	Lutwins Adam und Eva.	NULL	NULL	Lutwin	22913	Germany	NULL	NULL	NULL	P	PT	1101	ger	NULL
868911	1308158			0	innocentiii01luchuoft	0	fr	1906	Paris	Hachette et cie	Innocent III.	1846	NULL	Achille Luchaire	64314	France	NULL	60	NULL	NULL	NULL	NULL	fre	1846
224610	396592			0	handbuchderkult00rhyngoog	13110002		1900		O. Wigand	Handbuch der Kulturgeschichte in zusammenh	NULL	1900	Otto Henne am Rhyn	275989	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
674404	200389	eng	PS2232 .L8	28011506	shadowsofmetropo00lawr	877547	xx	1859	New York	Printed by R. Craighead	Shadows of the metropolis	NULL	NULL	Isaac Lawrence	NULL	USA	NY	NULL	NULL	P	PS	2232	eng	NULL
779863	643263	eng	PS2937 .B6 1871	24009834	bookofeastotherp00stod	0	mau	1871	Boston	James R. Osgood	book of the East, and other poems	1825	NULL	Richard Henry Stoddard	26699	USA	MA	46	NULL	P	PS	2937	eng	1825
497570	1160083	eng		0	cihm_16711	0	mau	1846	New Bedford [Mass.]	Evening Bulletin	Letter to the Hon. John Quincey Adams, on the Oregon question	NULL	NULL	Luther Baker	7188	USA	MA	NULL	NULL	NULL	NULL	NULL	eng	NULL
503182	889704	eng	SH221 .A5 1918	46028963	fishindustryinun00unit	0	dcu	1918	Washington	Govt. print. off.	Fish industry in the United States.	NULL	NULL	United States. Congress. Senate. Committee on Commerce.	12500	USA	DC	NULL	NULL	S	SH	221	eng	NULL
694871	1243510	fre		0	portraitsduxixes04gaut	0	fr	1894	Paris	Sanard et Derangeon	Portraits du XIXe si	1832	NULL	Léon Gautier	95345	France	NULL	62	NULL	NULL	NULL	NULL	fre	1832
820458	270772	fre	PQ2320.L4 H5 1906	6036028	histoiredelamre00bdgoog	603522	xx	1906	New York	American Book Company	Histoire de la Mére Michel et de son chat	1812	NULL	Emile de La Bédollière	NULL	USA	NY	94	NULL	P	PQ	2320	fre	1812
386486	1136881	eng		0	scienceandartar09sonngoog	0		1870			The science and art of arithmetic, by A. Sonnenschein and H.A. Nesbitt	1825	NULL	Adolf Sonnenschein	87735	NULL	NULL	45	NULL	NULL	NULL	NULL	eng	1825
301778	1114649	eng		0	newliteraltranslation02mack	0	enk	1806	London	Printed for Longman, Hurst, Rees, and Orme [etc.]	new literal translation from the original Greek, of all the apostolical epistles	NULL	NULL	NULL	231736	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
301072	470153	eng		0	sinewsofwarroman00phil	1369472		1906	London	T. Werner Laurie	sinews of war	1862	NULL	Phillpotts, Eden	72872	UK	NULL	44	NULL	NULL	NULL	NULL	eng	1862
253539	1095112	eng		0	swisslifeintownc00storrich	0	nyu	1911	New York	Putnam	Swiss life in town and country	NULL	NULL	Alfred Thomas Story	71240	USA	NY	NULL	NULL	NULL	NULL	NULL	eng	NULL
720507	677963	eng	JC585 .H7	99005256	libertyinninetee00holl	3086780	xx	1899	New York	G. P. Putnam's sons	Liberty in the nineteenth century	1836	1899	Frederic May Holland	65961	USA	NY	63	NULL	J	JC	585	eng	1836
858437	1304125			0	bothwellpoeminsi00aytorich	0	stk	1858	Edinburgh	W. Blackwood	Bothwell	1813	NULL	Aytoun, William Edmondstoune	53327	UK	NULL	45	NULL	NULL	NULL	NULL		1813
971949	1347138			0	astrohungarian00washrich	0	dcu	1851	Washington	Printed by Gideon and Co.	Austro-Hungarian question	NULL	NULL	United States. Dept. of State.	7155	USA	DC	NULL	NULL	NULL	NULL	NULL		NULL
762206	309235	eng	PS3527.E18 F3 1917	17024240	faraway00neargoog	0	nyu	1917	New York	G.P. Putnam's Sons	far away	NULL	NULL	Guy Nearing	5006	USA	NY	NULL	NULL	P	PS	3527	eng	NULL
157320	904107			0	lehrbuchderzool01hatsgoog	9807		1888		G. Fischer	Lehrbuch der Zoologie: Eine morphologische 	NULL	1888	Berthold Hatschek	81057	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
403115	245469	ger		0	vollstndigeanle00schgoog	83047325		1806		Keilischen buchhandlung	Vollst	NULL	NULL	NULL	278760	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
444297	1147076	eng		0	cihm_11978	0	nkc	1885	[St. John, N.B.?]	M.H. Pengilly	Diary written in the Provincial Lunatic Asylum	NULL	1885	Mary Huestis Pengilly	12199	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
450331	129932	eng		0	chicagomedicalj12unkngoog	1778063		1879			The Chicago Medical Journal and Examiner	NULL	NULL	NULL	213872	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
356783	389472	eng		0	thoughtsonhabitd00gurn	10414262	pau	1871	Philadelphia	H. Longstreth	Thoughts on habit and discipline	1788	1871	Joseph John Gurney	61533	USA	PA	83	NULL	NULL	NULL	NULL	eng	1788
229593	1076975			0	ausfritzreuters01reutgoog	0		1897		Hinstorff	Aus Fritz Reuters jungen und alten Tagen: Neues 	NULL	NULL	Karl Theodor Gaedertz 	82079	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
448843	28643	fin		0	uusinsuomalaise00ahlqgoog	58316523		1884		Frenckell	Uusin Suomalaisen Virsikirjan ehdotus kielelliselt	NULL	NULL	NULL	6953	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
134588	586352			0	medicochirurgic63londgoog	11174459		1851		Longmans	Medico-Chirurgical Transactions	NULL	1811	Royal Medical and Chirurgical Society of London	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
326487	877701	eng	BT375 .B7 1908	10006157	parabolicteachin1904bruc	0	nyu	1904	New York	A.C. Armstrong	parabolic teaching of Christ	1831	NULL	Alexander Balmain Bruce	200744	USA	NY	73	NULL	B	BT	375	eng	1831
333511	202966	eng	PZ3.B2885 E	7011589	anexperimentinp00bartgoog	4580462	nyu	1907	New York	Doubleday, Page and company	experiment in perfection	NULL	NULL	Barton, Marion T. Davis Mrs.	115031	USA	NY	NULL	NULL	P	PZ	3	eng	NULL
814875	232063	eng	PZ3.H524 Bl	5035301	blackspanieland00hichgoog	4854074	nyu	1905	New York	F.A. Stokes Company	black spaniel	1864	1905	Robert Smythe Hichens	70246	USA	NY	41	NULL	P	PZ	3	eng	1864
1024208	484509		QM601 B26	0	manualofanembryo00balluoft	0	stk	1902	Edinburgh	W. Green	Manual of antenatal pathology and hygiene	1861	1902	John William Ballantyne	295250	UK	NULL	41	NULL	Q	QM	601		1861
776359	967967	eng	E178.2 .H65 1921	21016189	syllabusofunited03hock	17433896	ohu	1921	Columbus, O		syllabus of United States history, 1492-1920	1875	NULL	Homer C. Hockett	12542	USA	OH	46	NULL	E	E	178	Unknown	1875
701582	1246134	lat		0	comoediaese1v3tere	0	ge	1831	Lipsia	Hartmenn	Comoediae sex	NULL	NULL	Terence	233299	NULL	NULL	NULL	NULL	NULL	NULL	NULL	lat	NULL
760737	135270	eng	PE1111 .E59 1917	17013375	goodenglishoral00roysgoog	1455833	xx	1917	New York	Scott, Foresman and company	Good English, oral and written, book one-three	1856	NULL	William H. Elson	67472	USA	NY	61	NULL	P	PE	1111	eng	1856
39387	70108	ger	PA4276 Z5 P4	0	diemelodiederspr00perauoft	0		1890	[Br		Melodie der Sprache in den Ges	NULL	NULL	Wilhelm Perathoner	15538	NULL	NULL	NULL	NULL	P	PA	4276	Unknown	NULL
564423	1177822			0	landgreven00thor	0	dk	1906	K	H.Hagerups Forlag	Landgreven.	NULL	NULL	Alex Thorsøe	34562	Denmark	NULL	NULL	NULL	NULL	NULL	NULL	nor	NULL
636134	886478	eng		0	analysisofhistor00pinn	221919679	enk	1861	Cambridge	Hall	An analysis of the history of the Reformation	1813	NULL	William Henry Pinnock	132131	UK	NULL	48	NULL	NULL	NULL	NULL	eng	1813
762134	894946	eng	TJ1125 .P45 1917	17023774	modernmachinesh01perrgoog	5463768	nyu	1917	New York	The Norman W. Henley publishing company	Modern machine shop construction equipment and management.	1848	NULL	Charles Oscar Eugene Perrigo	142145	USA	NY	69	NULL	T	TJ	1125	eng	1848
734449	612066	ger	CD1122 .A7	11015612	archivalienzurne01komm	4929791	au	1907	Wien	A. Holzhausen	Archivalien zur neueren geschichte Österreichs.	NULL	NULL	Kommission für Neuere Geschichte Österreichs.	161456	Austria	NULL	NULL	NULL	C	CD	1122	Unknown	NULL
625474	1211443	fre		0	cihm_40279	0	quc	1857	[Qu	s.n.]	Distribution des prix ann	NULL	NULL	Séminaire de Québec .	3583	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
851773	1301607			0	historicalviewof00greerich	0	 U	1865	Boston	Ticknor & Fields	Historical view of the American revolution.	1811	NULL	Greene, George Washington	113916	USA	MA	54	NULL	NULL	NULL	NULL		1811
888524	360653		Z2001 .R49	22004328	bookcollectorsgu00riccrich	938148	pau	1921	Philadelphia	The Rosenbach Company	book collector's guide	1881	NULL	Ricci, Seymour de	130128	USA	PA	40	NULL	Z	Z	2001	eng	1881
658037	219561	ger	PC2241 D8	0	zurtheoriederst00dh	15050468		1890	Stendal G̀er	Druck von Franzen & Grosses Verlag	Zur Theorie der Stellung des franz	NULL	NULL	(Dr.) Dühr	NULL	NULL	NULL	NULL	NULL	P	PC	2241	ger	NULL
255600	287641	eng	PZ3.G1319 Mi	2000004218	misslulubett01galegoog	0	nyu	1920	New York	D. Appleton and company	Miss Lulu Bett	1874	NULL	Zona Gale	33739	USA	NY	46	NULL	P	PZ	3	eng	1874
993956	1355574			0	tenanthouseoremb00duga	0	nyu	1857	New York	R. M. De Witt	tenant-house	1823	NULL	A. J. H. Duganne	133381	USA	NY	34	NULL	NULL	NULL	NULL	eng	1823
117227	714089			0	pugsleysnewguid00pugsgoog	122887116		1917		R.M. Pugsley	Pugsley's New Guide to the United States Local Inspectors Examination of Masters and Mates: Of ...	NULL	1917	Richard Marriotte Pugsley	63659	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
1018991	35011			10028897	readergreek00jacorich	0	mau	1829	Boston	Hilliard, Gray, Little & Wilkins	Greek reader	1764	NULL	Friedrich Jacobs	117564	USA	MA	65	NULL	NULL	NULL	NULL	Unknown	1764
399593	772816	eng		0	lifeaspirituali00shargoog	38864840		1921		Austin Pub. Co	The Life of a Spiritualist Medium	NULL	NULL	NULL	35950	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
767275	224143	eng	D570.9 .D35	19001187	mygalahadoftrenc00dear	7973886	nyu	1918	New York	Fleming H. Revell Co.	My Galahad of the trenches	1896	NULL	Vinton Adams Dearing	15572	USA	NY	22	NULL	D	D	570	eng	1896
137397	737060			0	arttransparentp00groogoog	8173029		1855			The art of transparent painting on glass	NULL	1855	Edward Groom	11629	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
953892	632265			17006373	heineamerica00sachrich	0	pau	1916	[Philadelphia]	University of Pennsylvania	Heine in America	1879	1916	Henry Baruch Sachs	52008	USA	PA	37	NULL	NULL	NULL	NULL	eng	1879
827539	991172	eng	SB613.C2 A2	8001609	farmweedsofcanad00canauoft	748150	xx	1906	Ottawa	Pub. by direction of the Hon. S. A. Fisher, Minister of Agriculture	Farm weeds of Canada	NULL	1906	Canada. Dept. of Agriculture	40502	NULL	NULL	NULL	NULL	S	SB	613	eng	NULL
676477	646674	ita	PQ4684B6 D45 1858	0	dellarepubblicar00bres	222323091	it	1858	Napoli	Stab. tip. del giglio	Della repubblica romana	1797	NULL	Antonio Bresciani	88407	Italy	NULL	61	NULL	P	PQ	4684	ita	1797
180396	1059019			0	radioinstrument00stangoog	0		1918		U. S. Govt. print. off.	Radio Instruments and Measurements: Issued March 23, 1918	NULL	1918	United States National Bureau of Standards	105553	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
497028	1159863	eng		0	cihm_16439	0	enk	1886	London	S. Low, Marston, Searle & Rivington	American salmon fisherman	1842	1886	Henry P. Wells	56971	UK	NULL	44	NULL	NULL	NULL	NULL	eng	1842
494250	1158755	eng		0	cihm_15278	0	enk	1875	London	Cassell, Petter & Galpin	Illustrated travels	NULL	NULL	NULL	361525	UK	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
884577	573552			0	choicetalesforim00someiala	30494515	nyu	1803	New-York	Printed and sold by G. & R. Waite, No. 64, Maiden-Lane	Choice tales, for the improvement of youth of both sexes.	1774	NULL	Somerville, Elizabeth	6096	USA	NY	29	NULL	NULL	NULL	NULL	eng	1774
759516	581008	eng	BX4470.C5 M3	17003157	historymotherse01mccagoog	5272340	nyu	1917	New York	Longmans, Green	history of Mother Seton's daughters	1851	NULL	McCann, Mary Agnes	100499	USA	NY	66	NULL	B	BX	4470	eng	1851
621946	1209850	eng		0	correspondencebe00mois	0	xx	1864	[n.p.]		Correspondence [between E. Warren Moise, Judge, Confederate Court, for Louisiana and S.B. Buckner, Lt. Gen., District Commander, West Louisiana, on a dispute between civil and military authority in a court martial case]	1811	NULL	E. Warren Moise	7052	NULL	NULL	53	NULL	NULL	NULL	NULL	eng	1811
960992	391992		UB413 .R33	1031221	manualforaspiran00reevrich	0	mou	1901	Kansas City, Mo	Hudson-Kimberly Publishing Co.	manual for aspirants for commissions in the United States army.	1872	1901	Ira L. Reeves	25260	USA	MO	29	NULL	U	UB	413	eng	1872
710507	1273674	eng	BX4815 .G5	82078470	ourprotestantfor01gill	0	xx	1836	[n.p.]		Our protestant forefathers...	NULL	NULL	William S. Gilly	23335	NULL	NULL	NULL	NULL	NULL	BX	4815	eng	NULL
307231	1116529	por		0	suaaltezarealose00bomjuoft	0	po	1791	Lisboa	Na offic. de Simam Thaddeo Ferreira	A sua alteza real o senhor D. Joam serenissimo principe do Brazil	NULL	1791	Joaquim José Luís do Bom Jardim	4692	Portugal	NULL	NULL	NULL	NULL	NULL	NULL	por	NULL
864816	1306576			0	questionsanswers00unitrich	0	dcu	1908	Washington	U.S. G.P.O.	Questions and answers for use in instruction of torpedo companies and detachments (new system)	NULL	NULL	United States. War Dept.	7267	USA	DC	NULL	NULL	NULL	NULL	NULL	eng	NULL
490812	780913	lat		0	insectasvecicade11gyll	2034283	sw	1808	Scaris	Litteris F.J. Leverentz	Insecta svecica descripta a Leonardo Gyllenhal ...	1752	1808	Leonard Gyllenhal	64451	Sweden	NULL	56	NULL	NULL	NULL	NULL	lat	1752
334851	827280	eng	KF7275 .A3 1852	13020689	armyandnavypens00unkngoog	0	dcu	1852	Washington	Printed by J. T. Towers	Army and navy pension laws, and bounty land laws of the United States	NULL	NULL	NULL	382614	USA	DC	NULL	NULL	K	KF	7275	eng	NULL
403661	691832	eng		10010400	militarylawscon00offigoog	3047579		1820		Printed by Shepherd & Pollard	Military Laws: Containing: Extracts from the Federal and State Constitutions, Synopsis of the ...	NULL	NULL	NULL	84809	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
402723	989110	eng		0	railroadlegisla00sabygoog	11338966		1912		The Volkszeitung Company	Railroad Legislation in Minnesota, 1849 to 1875	NULL	NULL	NULL	63895	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
218632	8494			0	storiadellapitt10rosigoog	3306204		1845		Presso Niccol	Storia della pittura italiana esposta coi monumenti	NULL	1839	Giovanni Rosini	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
488365	1155541	eng		0	cihm_12994	0	onc	1900	Toronto	W. Briggs	Messengers of the churches	1830	1900	J. E. Sanderson	36384	NULL	NULL	70	NULL	NULL	NULL	NULL	eng	1830
810432	332949	eng	RA793 .Y5	5004782	therapeuticsmin01yeogoog	8252549	xx	1904	London, Paris, New York, and Melbourne	Cassell and company, limited	therapeutics of mineral springs and climates	NULL	1904	Isaac Burney Yeo	230665	UK	NULL	NULL	NULL	R	RA	793	eng	NULL
28468	130	lat		0	4626146	52950295	gw	1882	Neisse	F. B	De Plini Secundi Minoris locis quibusdam interpretandis et emendandis	NULL	NULL	Felix Köhler	5683	Germany	NULL	NULL	NULL	NULL	NULL	NULL	lat	NULL
665204	99515	eng	D570.85.N5 B8	20005913	historyofbuffalo02swee	0	nyu	1920	Buffalo		History of Buffalo and Eric County, 1914-1919	NULL	NULL	Sweeney, Daniel J.,	330094	USA	NY	NULL	NULL	D	D	570	eng	NULL
379877	315232	fre		0	ltatactueletlar00grasgoog	38828633		1898		A. Fontemoing	L'	1839	NULL	Raoul de La Grasserie	77030	NULL	NULL	59	NULL	NULL	NULL	NULL	fre	1839
1000767	507765		PR4821 J2 S4 1910	0	jacobsshipscomp00jacouoft	0	enk	1910	London	Hodder and Stoughton	Ship's company	1863	1900	W. W. Jacobs	46563	UK	NULL	47	NULL	P	PR	4821	eng	1863
167406	950220			0	shadowandsubsta00goog	2205789		1860		W. Kent	Shadow and Substance	NULL	NULL	Robert Barnabas Brough	78787	NULL	NULL	NULL	NULL	NULL	NULL	NULL	eng	NULL
657965	863279	dan	DL449 .L8	1029757	norgedetnorskefo00loft	0	xx	1900	Minneapolis	Minn., Norge publishing company	Norge; det norske folks historie	NULL	NULL	Loftfield, Berner,	137716	NULL	NULL	NULL	NULL	D	DL	449	nor	NULL
964770	573750		HG8761 .F81	0	annalsanecdotesl00franrich	0	enk	1853	London	Longman, Brown, Green, and Longmans	Annals, anecdotes and legends	NULL	1853	John Francis	77812	UK	NULL	NULL	NULL	H	HG	8761	eng	NULL
634284	665743	por	JN8248 B6	0	disertacinhist00bola	222363664		1811	Cadiz	Impr. de la Junta Superior	Disertaci	NULL	NULL	Pasqual Bolaños y Noboa	8882	NULL	NULL	NULL	NULL	J	JN	8248	spa	NULL
629770	925027	fre	PQ2412.A4 M8 1897	19001140	lettresalfredd00sand	0	fr	1897	Paris	Calmann L	Lettres 	1804	NULL	George Sand	55286	France	NULL	93	NULL	P	PQ	2412	fre	1804
954580	682757		DA670D5 H4	12015700	southdevoncoast00harpuoft	0	enk	1907	London	Chapman & Hall	South Devon coast	1863	NULL	Harper, Charles G.	56109	UK	NULL	44	NULL	D	DA	670	eng	1863
183136	1059992			0	handbuchderbioc01abdegoog	0		1912		Urban & Schwarzenberg	Handbuch der biochemischen Arbeitsmethoden	NULL	1912	Emil Abderhalden	260980	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
521459	195822	eng	DS485.A84 C7	5014308	cu31924023498367	4756368	enk	1873	London	H.S. King & Co.	The Mishmee hills	1839	NULL	T. T. Cooper	78358	UK	NULL	34	NULL	D	DS	485	eng	1839
340228	606297	eng	KDC188.M335 M3352 1831	2006566497	dundonnellcause00mackgoog	0	stk	1831	Edinburgh	New North Briton Office	Dundonnell cause, second trial	NULL	1831	Mackenzie, Thomas of Dundonnell.	121404	UK	NULL	NULL	NULL	K	KD	188	eng	NULL
14715	480773		E420 .B85	20005367	albanyratificati01brig	0	nyu	1848	[Albany?		Albany ratification meeting.	1812	NULL	Jesse D. Bright	5493	USA	NY	36	NULL	E	E	420	eng	1812
421772	63517	ger		0	entwicklungsges00hartgoog	65864784		1868		F. Wagner	Entwicklungs-geschichte der Posten von den 	NULL	NULL	NULL	109487	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ger	NULL
686047	437061	eng		0	transcontinental00newy	221012864	nyu	1915	New York	American Geographical Society	Transcontinental excursion of 1912 of the American Geographical Society.  Memorial volume	NULL	NULL	NULL	124977	USA	NY	NULL	NULL	NULL	NULL	NULL	Unknown	NULL
840531	968265		E445.D6 E44	73159236	orationdelivered00elli	0	dcu	1872	Washington	H. Polkinhorn & Co., Printers	Oration delivered by Hon R.B. Elliott, April 16, 1872, at the celebration of the tenth anniversary of emancipation in the District of Columbia.	1842	1872	Robert Brown Elliott	3320	USA	DC	30	NULL	E	E	445	eng	1842
491240	130067	eng		0	procambarusnewsu00ortm	21922105	pau	1905	[Pittsburgh	Carnegie Institute	Procambarus, a new subgenus of the genus Cambarus	1863	NULL	A. E. Ortmann	2754	USA	PA	42	NULL	NULL	NULL	NULL	eng	1863
468512	1151546	eng		0	subsidiaprimari00kenngoog	0		1868			Subsidia primaria, a companion book to the 'Public school Latin primer', by the ed. of the 'Primer'.	1804	NULL	Benjamin Hall Kennedy	84719	NULL	NULL	64	NULL	NULL	NULL	NULL	Unknown	1804
44488	1004820	eng		0	highwaythere00scof	0	ilu	1901	Chicago	Revell	highway there	NULL	NULL	William Campbell Scofield	86727	USA	IL	NULL	NULL	NULL	NULL	NULL	eng	NULL
286696	935269	ger	QK45 F8	0	lehrbuchderbotan00franuoft	0		1892	Leipzig	W. Engelmann	Lehrbuch der Botanik	1839	NULL	Albert Bernhard Frank	319978	Germany	NULL	53	NULL	Q	QK	45	ger	1839
720366	173847	eng	PA2087 .L35 1899	99004272	aschoollatingra00lanegoog	6483936	nyu	1899	New York	Harper & Brothers	school Latin grammar	1859	1899	Morris Hicky Morgan	71089	USA	NY	40	NULL	P	PA	2087	eng	1859
948205	243969		F396 S4	0	scenesadventures00sealuoft	0	|||	1852	Edinburgh	Blackwood	Scenes and adventures in central America.	1793	1852	Charles Sealsfield	63471	UK	NULL	59	NULL	F	F	396	eng	1793
40894	872906	ger	PE3 E6	0	englischestudien04leipuoft	0		1877	Leipzig [etc.]	O.R. Reisland [etc.]	Englische Studien.	NULL	NULL	NULL	162894	Germany	NULL	NULL	NULL	P	PE	3	ger	NULL
